pair,src_band,lag_bars,lag_sec,n_shocks,mean_abs_pips,p50_abs_pips,p90_abs_pips,barrier_pips,clears_barrier
GBP_JPY,D3,44,220,369,17.38848238482394,7.699999999999818,43.67000000000075,21.60000000000082,True
GBP_JPY,D3,88,440,369,19.50447154471548,7.949999999999591,46.48000000000024,21.60000000000082,True
GBP_JPY,D3,176,880,369,23.03983739837406,9.699999999998,51.930000000000966,21.60000000000082,True
GBP_JPY,D4,11,55,480,14.67697916666672,7.474999999999454,38.88000000000205,21.60000000000082,True
GBP_JPY,D4,22,110,480,17.048333333333446,7.949999999999591,52.36500000000095,21.60000000000082,True
GBP_JPY,D4,44,220,480,16.407187500000006,7.399999999999807,43.02999999999799,21.60000000000082,True
GBP_JPY,D4,88,440,480,17.18656249999996,7.0750000000003865,43.160000000000025,21.60000000000082,True
GBP_JPY,D4,176,880,480,16.747083333333332,9.350000000000591,43.439999999999664,21.60000000000082,True
EUR_JPY,D3,11,55,1347,11.517223459539672,4.849999999999,26.64000000000102,16.799999999994952,True
EUR_JPY,D3,22,110,1344,12.469419642857144,5.500000000000682,27.919999999999167,16.799999999994952,True
EUR_JPY,D3,44,220,1344,12.12723214285713,5.500000000000682,29.650000000000887,16.799999999994952,True
EUR_JPY,D3,88,440,1344,13.383184523809492,6.049999999999045,32.20000000000226,16.799999999994952,True
EUR_JPY,D3,176,880,1344,14.181212797618992,7.049999999998136,31.334999999999983,16.799999999994952,True
EUR_JPY,D4,11,55,1896,11.296466244725693,4.450000000001353,26.724999999999,16.799999999994952,True
EUR_JPY,D4,22,110,1885,13.613819628647192,5.0499999999999545,33.23999999999964,16.799999999994952,True
EUR_JPY,D4,44,220,1885,13.040371352785169,5.0499999999999545,30.880000000000837,16.799999999994952,True
EUR_JPY,D4,88,440,1885,13.96474801061002,5.750000000000455,36.12999999999944,16.799999999994952,True
EUR_JPY,D4,176,880,1885,14.783315649867257,6.799999999998363,35.3999999999985,16.799999999994952,True
