pair,b,rev,N,trail,sp_cost,wf,is_pd,is_n,is_wr,is_net,oos_pd,oos_n,oos_wr,oos_net
EUR_USD,5,1,1,1,1.61,False,-323.69,49280,0.001,-323970.4,-350.88,22900,0.001,-150507.4
EUR_USD,5,1,1,2,1.61,False,-320.9,34768,0.046,-321173.2,-341.33,15992,0.049,-146410.4
EUR_USD,5,1,1,3,1.61,False,-156.18,16201,0.131,-156317.6,-169.39,7571,0.135,-72656.9
EUR_USD,5,1,2,1,1.61,False,-323.69,49279,0.001,-323963.8,-350.88,22900,0.001,-150507.4
EUR_USD,5,1,2,2,1.61,False,-320.9,34768,0.046,-321178.2,-341.33,15992,0.049,-146410.4
EUR_USD,5,1,2,3,1.61,False,-156.19,16201,0.131,-156322.6,-169.39,7571,0.135,-72656.9
EUR_USD,5,1,3,1,1.61,False,-273.98,41684,0.001,-274218.1,-296.01,19307,0.001,-126969.6
EUR_USD,5,1,3,2,1.61,False,-270.42,29344,0.047,-270650.8,-286.85,13443,0.049,-123042.2
EUR_USD,5,1,3,3,1.61,False,-142.36,14966,0.133,-142484.8,-153.0,6961,0.139,-65627.6
EUR_USD,5,1,5,1,1.61,False,-239.1,36370,0.001,-239303.2,-259.5,16925,0.001,-111310.9
EUR_USD,5,1,5,2,1.61,False,-238.0,25707,0.046,-238201.9,-253.38,11825,0.048,-108686.3
EUR_USD,5,1,5,3,1.61,False,-132.99,13989,0.133,-133108.3,-142.98,6517,0.141,-61331.1
EUR_USD,5,1,8,1,1.61,False,-214.62,32650,0.001,-214800.5,-231.18,15083,0.001,-99163.6
EUR_USD,5,1,8,2,1.61,False,-215.29,23181,0.045,-215475.9,-226.16,10552,0.048,-97007.2
EUR_USD,5,1,8,3,1.61,False,-124.88,13140,0.133,-124983.3,-132.64,6071,0.141,-56896.4
EUR_USD,5,1,12,1,1.61,False,-180.35,27447,0.001,-180504.7,-194.19,12675,0.002,-83297.9
EUR_USD,5,1,12,2,1.61,False,-183.34,19628,0.044,-183497.6,-192.82,8941,0.047,-82707.6
EUR_USD,5,1,12,3,1.61,False,-111.89,11721,0.132,-111988.5,-118.58,5400,0.141,-50863.7
EUR_USD,5,1,20,1,1.61,False,-143.83,21880,0.001,-143951.5,-153.43,10019,0.002,-65812.1
EUR_USD,5,1,20,2,1.61,False,-149.59,15847,0.042,-149721.4,-156.08,7164,0.044,-66950.1
EUR_USD,5,1,20,3,1.61,False,-95.63,9859,0.13,-95713.9,-99.73,4479,0.14,-42777.5
EUR_USD,5,3,1,1,1.61,False,-7.27,8519,0.285,-7271.6,-7.57,3934,0.282,-3248.1
EUR_USD,5,3,1,2,1.61,False,-49.82,8519,0.171,-49866.6,-53.43,3934,0.179,-22918.1
EUR_USD,5,3,1,3,1.61,False,-92.38,8519,0.103,-92461.6,-99.29,3934,0.109,-42588.1
EUR_USD,5,3,2,1,1.61,False,-7.26,8518,0.285,-7265.0,-7.57,3934,0.282,-3248.1
EUR_USD,5,3,2,2,1.61,False,-49.81,8518,0.171,-49855.0,-53.43,3934,0.179,-22918.1
EUR_USD,5,3,2,3,1.61,False,-92.37,8518,0.103,-92445.0,-99.29,3934,0.109,-42588.1
EUR_USD,5,3,3,1,1.61,False,-7.08,6694,0.271,-7081.7,-8.74,3120,0.263,-3749.6
EUR_USD,5,3,3,2,1.61,False,-40.52,6694,0.162,-40551.7,-45.11,3120,0.16,-19349.6
EUR_USD,5,3,3,3,1.61,False,-73.96,6694,0.1,-74021.7,-81.48,3120,0.103,-34949.6
EUR_USD,5,3,5,1,1.61,False,-6.71,5636,0.263,-6714.5,-7.62,2633,0.261,-3268.7
EUR_USD,5,3,5,2,1.61,False,-34.86,5636,0.159,-34894.5,-38.31,2633,0.16,-16433.7
EUR_USD,5,3,5,3,1.61,False,-63.02,5636,0.098,-63074.5,-69.0,2633,0.101,-29598.7
EUR_USD,5,3,8,1,1.61,False,-6.37,4975,0.259,-6377.9,-7.74,2302,0.253,-3319.6
EUR_USD,5,3,8,2,1.61,False,-31.23,4975,0.154,-31252.9,-34.57,2302,0.156,-14829.6
EUR_USD,5,3,8,3,1.61,False,-56.08,4975,0.094,-56127.9,-61.41,2302,0.096,-26339.6
EUR_USD,5,3,12,1,1.61,False,-5.93,4155,0.251,-5934.7,-6.99,1888,0.246,-2996.6
EUR_USD,5,3,12,2,1.61,False,-26.69,4155,0.149,-26709.7,-28.99,1888,0.147,-12436.6
EUR_USD,5,3,12,3,1.61,False,-47.44,4155,0.093,-47484.7,-51.0,1888,0.091,-21876.6
EUR_USD,5,3,20,1,1.61,False,-5.14,3267,0.243,-5146.8,-5.49,1478,0.248,-2355.0
EUR_USD,5,3,20,2,1.61,False,-21.46,3267,0.145,-21481.8,-22.72,1478,0.151,-9745.0
EUR_USD,5,3,20,3,1.61,False,-37.78,3267,0.09,-37816.8,-39.95,1478,0.093,-17135.0
EUR_USD,10,1,1,1,1.61,False,-207.14,17881,0.0,-207313.6,-223.57,8284,0.001,-95897.4
EUR_USD,10,1,1,2,1.61,False,-147.0,10469,0.086,-147123.2,-153.73,4797,0.09,-65940.6
EUR_USD,10,1,1,3,1.61,False,-58.45,4151,0.174,-58498.2,-63.05,1950,0.175,-27046.6
EUR_USD,10,1,2,1,1.61,False,-207.12,17880,0.0,-207302.0,-223.57,8284,0.001,-95897.4
EUR_USD,10,1,2,2,1.61,False,-147.01,10469,0.086,-147133.2,-153.73,4797,0.09,-65940.6
EUR_USD,10,1,2,3,1.61,False,-58.46,4151,0.174,-58508.2,-63.05,1950,0.175,-27046.6
EUR_USD,10,1,3,1,1.61,False,-185.84,16042,0.0,-185996.1,-199.57,7395,0.001,-85602.9
EUR_USD,10,1,3,2,1.61,False,-131.7,9391,0.088,-131813.7,-136.38,4269,0.088,-58498.6
EUR_USD,10,1,3,3,1.61,False,-56.95,4067,0.175,-57002.7,-60.42,1893,0.177,-25914.6
EUR_USD,10,1,5,1,1.61,False,-167.95,14497,0.0,-168093.0,-180.53,6692,0.001,-77438.5
EUR_USD,10,1,5,2,1.61,False,-119.13,8491,0.087,-119231.4,-124.91,3884,0.086,-53577.4
EUR_USD,10,1,5,3,1.61,False,-55.86,3984,0.177,-55908.8,-58.34,1842,0.175,-25022.3
EUR_USD,10,1,8,1,1.61,False,-154.66,13352,0.0,-154795.4,-165.59,6140,0.001,-71027.8
EUR_USD,10,1,8,2,1.61,False,-110.3,7842,0.088,-110394.2,-115.82,3582,0.087,-49680.1
EUR_USD,10,1,8,3,1.61,False,-54.42,3886,0.177,-54470.6,-56.0,1785,0.177,-24020.4
EUR_USD,10,1,12,1,1.61,False,-134.7,11630,0.0,-134816.7,-143.76,5333,0.001,-61665.6
EUR_USD,10,1,12,2,1.61,False,-97.08,6868,0.087,-97162.5,-102.56,3138,0.081,-43993.6
EUR_USD,10,1,12,3,1.61,False,-52.18,3702,0.179,-52223.7,-52.05,1677,0.178,-22326.1
EUR_USD,10,1,20,1,1.61,False,-110.85,9572,0.0,-110945.8,-117.61,4362,0.001,-50448.7
EUR_USD,10,1,20,2,1.61,False,-82.18,5720,0.084,-82250.0,-85.85,2593,0.076,-36824.2
EUR_USD,10,1,20,3,1.61,False,-48.14,3372,0.178,-48181.2,-47.61,1513,0.174,-20421.4
EUR_USD,10,3,1,1,1.61,True,8.21,1891,0.368,8218.6,8.09,885,0.379,3471.9
EUR_USD,10,3,1,2,1.61,False,-10.68,1891,0.248,-10691.4,-12.54,885,0.226,-5378.1
EUR_USD,10,3,1,3,1.61,False,-29.58,1891,0.174,-29601.4,-33.17,885,0.147,-14228.1
EUR_USD,10,3,2,1,1.61,True,8.22,1890,0.368,8230.2,8.09,885,0.379,3471.9
EUR_USD,10,3,2,2,1.61,False,-10.66,1890,0.248,-10669.8,-12.54,885,0.226,-5378.1
EUR_USD,10,3,2,3,1.61,False,-29.54,1890,0.174,-29569.8,-33.17,885,0.147,-14228.1
EUR_USD,10,3,3,1,1.61,True,5.64,1477,0.355,5646.6,5.95,675,0.381,2550.8
EUR_USD,10,3,3,2,1.61,False,-9.12,1477,0.244,-9123.4,-9.79,675,0.213,-4199.2
EUR_USD,10,3,3,3,1.61,False,-23.87,1477,0.167,-23893.4,-25.53,675,0.133,-10949.2
EUR_USD,10,3,5,1,1.61,True,4.68,1245,0.355,4681.0,5.06,569,0.369,2171.8
EUR_USD,10,3,5,2,1.61,False,-7.76,1245,0.235,-7769.0,-8.2,569,0.216,-3518.2
EUR_USD,10,3,5,3,1.61,False,-20.2,1245,0.158,-20219.0,-21.47,569,0.141,-9208.2
EUR_USD,10,3,8,1,1.61,True,3.91,1077,0.352,3912.1,4.72,494,0.37,2022.9
EUR_USD,10,3,8,2,1.61,False,-6.85,1077,0.229,-6857.9,-6.8,494,0.223,-2917.1
EUR_USD,10,3,8,3,1.61,False,-17.61,1077,0.156,-17627.9,-18.32,494,0.148,-7857.1
EUR_USD,10,3,12,1,1.61,True,3.1,895,0.353,3105.8,4.17,403,0.385,1789.7
EUR_USD,10,3,12,2,1.61,False,-5.84,895,0.234,-5844.2,-5.22,403,0.226,-2240.3
EUR_USD,10,3,12,3,1.61,False,-14.78,895,0.156,-14794.2,-14.62,403,0.149,-6270.3
